subject,path,app_type,repetition,energy_consumption,network_traffic,mean_cpu_load,mean_mem_usage,mean_frame_time
coupang,coupang.com,web,1,609.20064,23778469,38.808510638297875,1647420.1489361702,2.4083315633778836e+16
coupang,coupang.com,web,2,571.32288,5054400,38.44901960784314,1910464.843137255,-31847846796.78466
coupang,coupang.com,web,3,617.0918399999999,24405710,38.37864077669903,1910041.009708738,-299135699.7492625
coupang,coupang.com,web,4,621.8265600000001,4119243,38.58252427184466,1867812.7669902912,-72998541.30650155
coupang,coupang.com,web,5,609.20064,2044381,32.46153846153846,1897624.9038461538,-22759422592.53662
coupang,coupang.com,web,6,629.71776,3196356,38.362500000000004,1649094.6979166667,-117361900431.43056
coupang,coupang.com,web,7,626.5612800000001,2202574,38.45263157894737,1636592.7157894736,-252844409.11275965
coupang,coupang.com,web,8,647.0784,16838391,32.300970873786405,1822723.0,-30175740814.331837
coupang,coupang.com,web,9,626.5612800000001,2095407,38.44859813084112,1572880.4205607476,-346069250.34070796
coupang,coupang.com,web,10,569.74464,3489507,34.45544554455446,1724723.0396039605,-111070138718.25854
coupang,coupang.com,web,11,789.12,215728525,39.49523809523809,1604535.1333333333,-139393495.81311476
coupang,coupang.com,web,12,628.13952,132355311,38.57843137254902,1897467.6274509805,-1.0195667371662934e+16
coupang,coupang.com,web,13,555.54048,19004818,38.772277227722775,1856134.8712871287,-524207637.67601246
coupang,coupang.com,web,14,631.2959999999999,4383209,38.26470588235294,1766382.2450980393,-55969198179.710945
coupang,coupang.com,web,15,626.5612800000001,2014990,38.332038834951454,1962089.2524271845,-30372827619.967693
coupang,coupang.com,web,16,631.2959999999999,1963405,31.901960784313726,1834414.5098039217,-21493829113.814598
coupang,coupang.com,web,17,626.5612800000001,25357618,32.971698113207545,1731952.4716981133,106653150381650.89
coupang,coupang.com,web,18,628.13952,4842716,38.76699029126213,1996210.854368932,-52147800905.54357
coupang,coupang.com,web,19,869.61024,3939269,38.705882352941174,1792660.294117647,-300661164.6443149
coupang,coupang.com,web,20,677.06496,14990145,38.43269230769231,1661295.923076923,-371548098.5960912
coupang,coupang.com,web,21,546.07104,2043090,38.735849056603776,1673026.0943396227,232130655318611.56
coupang,coupang.com,web,22,626.5612800000001,2215343,38.85436893203884,1909618.932038835,-229065972.30298507
coupang,coupang.com,web,23,550.8057600000001,1957472,53.78787878787879,1650907.7777777778,-405539633.99265784
coupang,coupang.com,web,24,629.71776,1965259,47.135416666666664,2198063.3229166665,5.114667734520291e+16
coupang,coupang.com,web,25,623.4047999999999,14031047,33.144329896907216,1925675.175257732,-290651055.271261
